productTitle,regularPrice,discountPrice,Price,productDesc,productImage
Ordinateur portable Asus ROG Zephyrus Duo 16 (90NR0931-M002R0),"47 976,00 DH","-8 950,00 DH","39 026,00 DH TTC","AMD Ryzen™ 7 6800H Mobile Processor (8-core/16-thread, 20MB cache, up to 4.7 GHz max boost)RAM: 32 GB (16GB DDR5-4800 SO-DIMM *2)Disque dur: 512GB M.2 NVMe™ PCIe® 4.0 SSDÉcran: 16"" WUXGA (1920 x 1200) 16:10 165Hz 3ms IPS-level anti-glare 500 nits 1200:1 72 NTSC % 100 SRGB % 75.35 Adobe % Viewing Angle 85/85/85/85 FreeSync Pantone Validated Support stylus Support Dolby Vision HDRScreenPad™ Plus (14"" 1920 x 550 IPS-level Panel Support Stylus)Carte graphique: NVIDIA® GeForce RTX™ 3070 Ti Laptop GPU - 8GB 1 GDDR6Windows 11 HomeClavier: Backlit Chiclet Keyboard Per-Key RGB, Français (AZERTY)Poids: 2.50 Kg",https://www.iris.ma/63390-listing/ordinateur-portable-asus-rog-zephyrus-duo-16-90nr0931-m002r0.jpg
Ordinateur portable Asus ROG Zephyrus Duo 16 GX650 (90NR0931-M005W0),"50 496,00 DH","-9 083,00 DH","41 413,00 DH TTC","AMD Ryzen™ 9 6900HX Mobile Processor (8-core/16-thread, 20MB cache, up to 4.9 GHz max boost)RAM: 32 GB (16GB 1 DDR5-4800 SO-DIMM *2)Disque dur: 1TB PCIe® 4.0 NVMe™ M.2 Performance SSDÉcran: 16"" FHD+ 16:10 (1920 x 1200, WUXGA) 165Hz 3ms Viewing Angle 85/85/85/85 IPS-level 500Nits 1200:1 NTSC% 72 SRGB% 100 Adobe% 75.35 anti-glare FreeSync Premium Pantone Validated Support Dolby Vision HDRScreenPad™ Plus (14"" 1920 x 550 IPS-level Panel Support Stylus)Carte graphique: NVIDIA® GeForce RTX™ 3070 Ti Laptop GPU - 8GB GDDR6Windows 11 HomeClavier: Backlit Chiclet Keyboard Per-Key RGB, Français (AZERTY)Poids: 2.50 Kg",https://www.iris.ma/63446-listing/ordinateur-portable-asus-rog-zephyrus-duo-16-gx650-90nr0931-m005w0.jpg
Ordinateur Portable Lenovo ThinkPad L13 Gen 4 (21FG000PFE),"20 472,00 DH","-4 942,00 DH","15 530,00 DH TTC","Intel® Core™ i5-1335U, 10C (2P + 8E) / 12T, P-core 1.3 / 4.6GHz, E-core 0.9 / 3.4GHz, 12MBRAM: 8GB Soldered LPDDR5-4800Disque dur: 512GB SSD M.2 2242 PCIe® 4.0x4 NVMe® Opal 2.0Écran: 13.3"" WUXGA 1 (1920x1200) IPS 300nits Anti-glare, 45% NTSCCarte graphique: Integrated Intel® Iris® Xe GraphicsWindows 11 professionnelClavier: Français (AZERTY)Poids: 1.26",https://www.iris.ma/69237-listing/ordinateur-portable-lenovo-thinkpad-l13-gen-4-21fg000pfe.jpg
Ordinateur Portable Lenovo ThinkPad L14 Gen 4 (Intel) (21H1000GFE),"22 092,00 DH","-5 212,00 DH","16 880,00 DH TTC","Intel® Core™ i7-1355U, 10C (2P + 1 8E) / 12T, P-core 1.7 / 5.0GHz, E-core 1.2 / 3.7GHz, 12MBRAM: 8GB SO-DIMM DDR4-3200Disque dur: 512GB SSD M.2 2242 PCIe® 4.0x4 NVMe® Opal 2.0Écran: 14"" FHD (1920x1080) IPS 250nits Anti-glare, 45% NTSCCarte graphique: Integrated Intel® Iris® Xe Graphics Functions as UHD GraphicsWindows 11 professionnelClavier: Français (AZERTY)Poids: 1.4 kg",https://www.iris.ma/69244-listing/ordinateur-portable-lenovo-thinkpad-l14-gen-4-intel-21h1000gfe.jpg
Ordinateur portable HP Victus Gaming 15-fb0001nk (6E1E3EA),"16 788,00 DH","-1 878,00 DH","14 910,00 DH TTC","AMD Ryzen™ 7 5800H (jusqu’à 4,4 GHz de fréquence Boost maximale, mémoire cache L3 16 Mo , 8 cœurs, 16 threads)RAM: 16 Go de mémoire RAM DDR4-3200 MHz (2 x 8 Go)Disque dur: SSD 512 GB PCIe® NVMe™ TLC M.2Écran: Full HD d’une diagonale de 39,6 cm (15,6 pouces) (1920 x 1080), IPS, micro-bord, antireflet, 250 nits, 45 % NTSCCarte graphique: NVIDIA® GeForce RTX™ 3050 Ordinateur portable GPU (4 Go de mémoire GDDR6 dédiée)Windows 11 Édition Familiale unilingueClavier: Clavier argent mica, rétroéclairé, de grande taille avec pavé numérique, 1 Français (AZERTY)Poids: 2,29 kg",https://www.iris.ma/65516-listing/ordinateur-portable-hp-victus-gaming-laptop-15-fb0001nk-6e1e3ea.jpg
Ordinateur portable Asus ROG Strix G17 (90NR08K4-M005S0),"30 924,00 DH","-3 314,00 DH","27 610,00 DH TTC","AMD Ryzen™ 7 6800H Mobile Processor (8-core/16-thread, 20MB cache, up to 4.7 GHz max boost)RAM: 16 GB (8GB DDR5-4800 SO-DIMM *2)Disque dur: 1TB M.2 NVMe™ PCIe® 4.0 SSDÉcran: 17.3"" FHD (1920 x 1080) 16:9 360Hz 3ms Viewing Angle 170 IPS-level 300nits 1:1000 NTSC 72% SRGB% 100.00 Adobe% 75.35 anti-glare Adaptive-Sync Support Dolby Vision HDRCarte graphique: NVIDIA® GeForce RTX™ 3060 Laptop GPU - 6GB GDDR6Windows 11 HomeClavier: Backlit Chiclet Keyboard 4-Zone RGB, 1 Français (AZERTY)Poids: 2.90 Kg",https://www.iris.ma/63401-listing/ordinateur-portable-asus-rog-strix-g17-90nr08k4-m005s0.jpg
Ordinateur portable Asus ROG Zephyrus Duo 16 GX650R (90NR0B11-M001K0),"61 728,00 DH","-9 918,00 DH","51 810,00 DH TTC","AMD Ryzen™ 9 6900HX Mobile Processor (8-core/16-thread, 20MB cache, up to 4.9 GHz max boost)RAM: 32 GB (16GB DDR5-4800 SO-DIMM *2)Disque dur: 1TB M.2 NVMe™ PCIe® 4.0 Performance SSDÉcran: 16"" WQXGA (2560 x 1600) 16:10 165Hz 100000:1 Viewing Angle 85/85/85/85 Mini LED 1100Nits  DCI-P3% 100 anti-glare FreeSync Premium Pro Pantone Validated ROG Nebula HDR Display Support Dolby Vision HDRScreenPad™ Plus (14"" 3840 x 1100(4K) IPS-level Panel Support 1 Stylus)Carte graphique: NVIDIA® GeForce RTX™ 3080 Laptop GPU - 8GB GDDR6Windows 11 HomeClavier: Backlit Chiclet Keyboard Per-Key RGB, Français (AZERTY)Poids: 2.60 Kg",https://www.iris.ma/63488-listing/ordinateur-portable-asus-rog-zephyrus-duo-16-gx650r-90nr0b11-m001k0.jpg
Ordinateur Portable Lenovo Notebook V15 IML (82NB000HFE),"8 628,00 DH","-3 278,00 DH","5 350,00 DH TTC","Intel® Core™ i5-10210U (4C / 8T, 1.6 / 4.2GHz, 6MB)RAM: 4GB Soldered DDR4-2666Disque 1 dur: 1TB HDD 5400rpm 2.5""Écran: 15.6"" FHD (1920x1080) TN 220nits Anti-glareCarte graphique: Integrated Intel UHD GraphicsFreeDOS (Sans Windows)Clavier: Non-backlit, Français (AZERTY)Poids: 1.85 kg",https://www.iris.ma/59867-listing/ordinateur-portable-lenovo-notebook-v15-iml-82nb000hfe.jpg
Ordinateur portable Asus VivoBook 14 R465,"7 500,00 DH","-1 470,00 DH","6 030,00 DH TTC","Intel® Core™ i3-10110U Processor 2.1 GHz (4M Cache, up to 4.1 GHz, 2 cores)RAM: 4GB DDR4 on boardDisque dur: 1TB SATA 5400RPM 2.5"" HDDÉcran: 14.0"" HD (1366 x 768) 16:9 aspect ratio LED Backlit 1 200nits Anti-glare 45% NTSC color gamutCarte graphique: Intel® HD Graphics 520Windows 10 FamilleClavier: Chiclet Keyboard, Français (AZERTY)Modèle sans NumberPadPoids: 1.60 kg",https://www.iris.ma/56595-listing/ordinateur-portable-asus-vivobook-14-r465fa-bv047t-90nb0w11-m000b0.jpg
Ordinateur portable HP 15-fd0030nk (886L5EA),"5 088,00 DH","-328,00 DH","4 760,00 DH TTC","Intel® N100 (jusqu’à 3,4 GHz avec la technologie Intel® Turbo Boost, 6 Mo de mémoire cache L3, 4 cœurs, 4 threads)RAM: 4 Go de mémoire RAM DDR4-3200 MHz (1 x 4 Go)Disque dur: SSD PCIe® NVMe™ M.2 256 GoÉcran: Full HD d’une diagonale de 39,6 cm (15,6 pouces) (1920 x 1080), micro-bords, antireflet, 250 nits, 45 % NTSCCarte graphique: Intel® UHD IntégréWindows 11 Édition Familiale unilingueClavier: Noir profond, de grande taille avec 1 pavé numérique, Français (AZERTY)Poids: 1,59 kg",https://www.iris.ma/68269-listing/ordinateur-portable-hp-15-fd0030nk-886l5ea.jpg
Ordinateur portable HP 15-dw4005nk (6L9K2EA),"15 600,00 DH","-6 250,00 DH","9 350,00 DH TTC","Intel® Core™ i5-1235U (jusqu’à 4,4 GHz avec la technologie Intel® Turbo Boost, mémoire cache L3 12 Mo, 10 cœurs, 12 threads)RAM: 8 Go de mémoire RAM DDR4-3200 MHz (1 x 8 Go)Disque dur: SSD PCIe® NVMe™ M.2 256 GoÉcran: Full HD d’une diagonale de 39,6 cm (15,6 pouces) (1920 x 1080), micro-bords, antireflet, 250 nits, 45 % NTSCCarte graphique: NVIDIA® GeForce® MX550 (2 Go de mémoire GDDR6 dédiée)Windows 11 FamilleClavier: Noir profond, 1 de grande taille avec pavé numérique, Français (AZERTY)Poids: 1,78 kg",https://www.iris.ma/62740-listing/ordinateur-portable-hp-15-dw4005nk-6l9k2ea.jpg
Ordinateur portable HP 15-fd0022nk (886K7EA),"7 835,00 DH","-335,00 DH","7 500,00 DH TTC","Intel® Core™ i5-1335U (jusqu’à 4,6 GHz avec la technologie Intel® Turbo Boost, 12 Mo de mémoire cache L3, 10 cœurs, 12 threads)RAM: 8 Go 1 de mémoire RAM DDR4-3200 MHz (2 x 4 Go)Disque dur: SSD PCIe® NVMe™ M.2 512 GoÉcran: Full HD d’une diagonale de 39,6 cm (15,6 pouces) (1920 x 1080), micro-bords, antireflet, 250 nits, 45 % NTSCCarte graphique: Intel® Iris® XᵉWindows 11 Édition Familiale unilingueClavier: Complet gris clair rétroéclairé avec pavé numérique, Français (AZERTY)Poids: 1,59 kg",https://www.iris.ma/67339-listing/ordinateur-portable-hp-15-fd0022nk-886k7ea.jpg
Ordinateur de bureau Dell Optiplex 3000 - 512Go SSD (DL-OP3000-I5-512),"11 004,00 DH","-2 564,00 DH","8 440,00 DH TTC",Intel® Core™ i5-12500RAM: 8 GoDisque dur: 512Go SSDCarte graphique: Intel UHD Graphics 770FreeDOS (Sans Windows)Unité 1 centrale sans écran,https://www.iris.ma/62854-listing/ordinateur-de-bureau-dell-optiplex-3000-512go-ssd-dl-op3000-i5-512.jpg
Ordinateur portable Asus VivoBook 14 R465,"7 500,00 DH","-1 740,00 DH","5 760,00 DH TTC","Intel® Core™ i3-10110U Processor 2.1 GHz (4M Cache, up to 4.1 GHz, 2 cores)RAM: 4GB DDR4 on 1 boardDisque dur: 1TB SATA 5400RPM 2.5"" HDDÉcran: 14.0"" HD (1366 x 768) 16:9 aspect ratio LED Backlit 200nits Anti-glare 45% NTSC color gamutCarte graphique: Intel® HD Graphics 520Windows 10 FamilleClavier: Chiclet Keyboard, Français (AZERTY)Modèle sans NumberPadPoids: 1.60 kg",https://www.iris.ma/56681-listing/ordinateur-portable-asus-vivobook-14-r465fa-bv046t-90nb0w12-m000a0.jpg
